sample_no,docid,sentence1,sentence2,location1,location2,event1,event2,sent1_id,sent2_id,same_sent,predicted
10,1999-05-21-0104,"Un chauffeur de bus de 38 ans a été pris à partie et [ agressé ] par deux individus , hier vers 18 h , place de la Mairie à Valdoie .","Deux gardiens de la paix , qui tentaient de s ' interposer , ont été légèrement [ blessés ] à leur tour .",13,16,agressé,blessés,1,2,0,BEFORE
11,1999-05-21-0104,"Deux gardiens de la paix , qui [ tentaient ] de s ' interposer , ont été légèrement blessés à leur tour .","Deux gardiens de la paix , qui tentaient de s ' interposer , ont été légèrement [ blessés ] à leur tour .",7,16,tentaient,blessés,2,2,1,BEFORE
12,1999-05-21-0104,"Deux gardiens de la paix , qui [ tentaient ] de s ' interposer , ont été légèrement blessés à leur tour .",Les auteurs de l' agression ont été [ interpellés ] et conduits au commissariat de police pour y être entendus .,7,7,tentaient,interpellés,2,3,0,BEFORE
13,1999-05-21-0104,"Deux gardiens de la paix , qui [ tentaient ] de s ' interposer , ont été légèrement blessés à leur tour .",Les auteurs de l' agression ont été interpellés et [ conduits ] au commissariat de police pour y être entendus .,7,9,tentaient,conduits,2,3,0,AFTER
14,1999-05-21-0104,"Deux gardiens de la paix , qui tentaient de s ' interposer , ont été légèrement [ blessés ] à leur tour .",Les auteurs de l' agression ont été [ interpellés ] et conduits au commissariat de police pour y être entendus .,16,7,blessés,interpellés,2,3,0,BEFORE
15,1999-05-21-0104,"Deux gardiens de la paix , qui tentaient de s ' interposer , ont été légèrement [ blessés ] à leur tour .",Les auteurs de l' agression ont été interpellés et [ conduits ] au commissariat de police pour y être entendus .,16,9,blessés,conduits,2,3,0,AFTER
16,1999-05-21-0104,Les auteurs de l' agression ont été [ interpellés ] et conduits au commissariat de police pour y être entendus .,Les auteurs de l' agression ont été interpellés et [ conduits ] au commissariat de police pour y être entendus .,7,9,interpellés,conduits,3,3,1,BEFORE
17,1999-05-21-0104,Les auteurs de l' agression ont été [ interpellés ] et conduits au commissariat de police pour y être entendus .,"De leur côté , les pompiers de Valdoie ont [ conduit ] trois blessés légers à l'hôpital de Belfort .",7,9,interpellés,conduit,3,4,0,AFTER
18,1999-05-21-0104,Les auteurs de l' agression ont été interpellés et [ conduits ] au commissariat de police pour y être entendus .,"De leur côté , les pompiers de Valdoie ont [ conduit ] trois blessés légers à l'hôpital de Belfort .",9,9,conduits,conduit,3,4,0,BEFORE
19,1999-07-24-0101,"La bibliothèque sera [ fermée ] en juillet et rouvrira ses portes en août , uniquement le mercredi .","La bibliothèque sera fermée en juillet et [ rouvrira ] ses portes en août , uniquement le mercredi .",3,7,fermée,rouvrira,1,1,1,AFTER
20,1999-05-21-0100,"Les pompiers ont [ secouru ] David Dietlin , blessé légèrement , à la hauteur du 37 , rue de la Libération , dans un accident entre une auto et un deux roues .","Les pompiers ont secouru David Dietlin , [ blessé ] légèrement , à la hauteur du 37 , rue de la Libération , dans un accident entre une auto et un deux roues .",3,7,secouru,blessé,1,1,1,BEFORE
21,1999-05-21-0100,"Les pompiers ont [ secouru ] David Dietlin , blessé légèrement , à la hauteur du 37 , rue de la Libération , dans un accident entre une auto et un deux roues .",Il a été [ conduit ] au centre hospitalier de Belfort .,3,3,secouru,conduit,1,2,0,AFTER
22,1999-05-21-0100,"Les pompiers ont secouru David Dietlin , [ blessé ] légèrement , à la hauteur du 37 , rue de la Libération , dans un accident entre une auto et un deux roues .",Il a été [ conduit ] au centre hospitalier de Belfort .,7,3,blessé,conduit,1,2,0,BEFORE
23,2002-05-11-0410,"Dans le cadre du festival de théâtre de l'Association « Aux actes citoyens » de Tomblaine et en collaboration avec le Can ' art d'Art - sur - Meurthe , l'AFRL [ propose ] une soirée théâtre le jeudi 23 mai , à 20 h 30 , à la salle polyvalente du village .","A l'affiche , une comédie de Francis Veber , « Le dîner de cons » [ interprétée ] par le théâtre de La Roële de Villers - lès - Nancy .",31,15,propose,interprétée,1,2,0,AFTER
24,2002-05-11-0410,"A l'affiche , une comédie de Francis Veber , « Le dîner de cons » [ interprétée ] par le théâtre de La Roële de Villers - lès - Nancy .","Tous les coureurs du footing lenoncourtois disponibles , [ ont ] rendez - vous dimanche matin à Val - et - Châtillon , pour disputer la journée finale du trophée sport - loisirs .",15,8,interprétée,ont,2,3,0,BEFORE
25,1999-08-07-0376d,Bill Clinton a [ annoncé ] qu'il mettra son veto à une réduction d'impôts de 792 milliards de dollars sur dix ans adoptée par le Congrès à majorité républicaine .,Bill Clinton a annoncé qu'il mettra son veto à une réduction d'impôts de 792 milliards de dollars sur dix ans [ adoptée ] par le Congrès à majorité républicaine .,3,20,annoncé,adoptée,0,0,1,AFTER
26,1999-08-07-0376d,Bill Clinton a [ annoncé ] qu'il mettra son veto à une réduction d'impôts de 792 milliards de dollars sur dix ans adoptée par le Congrès à majorité républicaine .,"Le texte [ prévoit ] des réductions d'impôts pour un montant de 791,9 milliards de dollars sur 10 ans , pour redistribuer aux Américains une partie des excédents budgétaires , qui pourraient atteindre 3.000 milliards d' ici à dix ans .",3,2,annoncé,prévoit,0,1,0,BEFORE
27,1999-08-07-0376d,Bill Clinton a annoncé qu'il mettra son veto à une réduction d'impôts de 792 milliards de dollars sur dix ans [ adoptée ] par le Congrès à majorité républicaine .,"Le texte [ prévoit ] des réductions d'impôts pour un montant de 791,9 milliards de dollars sur 10 ans , pour redistribuer aux Américains une partie des excédents budgétaires , qui pourraient atteindre 3.000 milliards d' ici à dix ans .",20,2,adoptée,prévoit,0,1,0,VAGUE
28,2002-05-23-0139,"Le premier des 28 Groupements d'Intervention Régionaux [ composé ] de policiers , gendarmes , douaniers et agents du fisc pour lutter contre les réseaux de délinquance , sera installé à Strasbourg demain .","Le premier des 28 Groupements d'Intervention Régionaux composé de policiers , gendarmes , douaniers et agents du fisc pour lutter contre les réseaux de délinquance , sera [ installé ] à Strasbourg demain .",7,27,composé,installé,0,0,1,BEFORE
29,2002-05-23-0139,"Le premier des 28 Groupements d'Intervention Régionaux [ composé ] de policiers , gendarmes , douaniers et agents du fisc pour lutter contre les réseaux de délinquance , sera installé à Strasbourg demain .","Sarkozy était hier dans la capitale alsacienne où le matin même une opération contre un réseau de recel et trafic de Hi - Fi et vidéo a [ permis ] d' interpeller dix personnes , de saisir des armes et 15.000 € .",7,27,composé,permis,0,1,0,BEFORE
30,2002-05-23-0139,"Le premier des 28 Groupements d'Intervention Régionaux [ composé ] de policiers , gendarmes , douaniers et agents du fisc pour lutter contre les réseaux de délinquance , sera installé à Strasbourg demain .","Sarkozy était hier dans la capitale alsacienne où le matin même une opération contre un réseau de recel et trafic de Hi - Fi et vidéo a permis d' [ interpeller ] dix personnes , de saisir des armes et 15.000 € .",7,29,composé,interpeller,0,1,0,BEFORE
31,2002-05-23-0139,"Le premier des 28 Groupements d'Intervention Régionaux [ composé ] de policiers , gendarmes , douaniers et agents du fisc pour lutter contre les réseaux de délinquance , sera installé à Strasbourg demain .","Sarkozy était hier dans la capitale alsacienne où le matin même une opération contre un réseau de recel et trafic de Hi - Fi et vidéo a permis d' interpeller dix personnes , de [ saisir ] des armes et 15.000 € .",7,34,composé,saisir,0,1,0,BEFORE
32,2002-05-23-0139,"Le premier des 28 Groupements d'Intervention Régionaux composé de policiers , gendarmes , douaniers et agents du fisc pour lutter contre les réseaux de délinquance , sera [ installé ] à Strasbourg demain .","Sarkozy était hier dans la capitale alsacienne où le matin même une opération contre un réseau de recel et trafic de Hi - Fi et vidéo a [ permis ] d' interpeller dix personnes , de saisir des armes et 15.000 € .",27,27,installé,permis,0,1,0,BEFORE
33,2002-05-23-0139,"Le premier des 28 Groupements d'Intervention Régionaux composé de policiers , gendarmes , douaniers et agents du fisc pour lutter contre les réseaux de délinquance , sera [ installé ] à Strasbourg demain .","Sarkozy était hier dans la capitale alsacienne où le matin même une opération contre un réseau de recel et trafic de Hi - Fi et vidéo a permis d' [ interpeller ] dix personnes , de saisir des armes et 15.000 € .",27,29,installé,interpeller,0,1,0,EQUAL
34,2002-05-23-0139,"Le premier des 28 Groupements d'Intervention Régionaux composé de policiers , gendarmes , douaniers et agents du fisc pour lutter contre les réseaux de délinquance , sera [ installé ] à Strasbourg demain .","Sarkozy était hier dans la capitale alsacienne où le matin même une opération contre un réseau de recel et trafic de Hi - Fi et vidéo a permis d' interpeller dix personnes , de [ saisir ] des armes et 15.000 € .",27,34,installé,saisir,0,1,0,BEFORE
35,2002-05-23-0139,"Sarkozy était hier dans la capitale alsacienne où le matin même une opération contre un réseau de recel et trafic de Hi - Fi et vidéo a [ permis ] d' interpeller dix personnes , de saisir des armes et 15.000 € .","Sarkozy était hier dans la capitale alsacienne où le matin même une opération contre un réseau de recel et trafic de Hi - Fi et vidéo a permis d' [ interpeller ] dix personnes , de saisir des armes et 15.000 € .",27,29,permis,interpeller,1,1,1,AFTER
36,2002-05-23-0139,"Sarkozy était hier dans la capitale alsacienne où le matin même une opération contre un réseau de recel et trafic de Hi - Fi et vidéo a [ permis ] d' interpeller dix personnes , de saisir des armes et 15.000 € .","Sarkozy était hier dans la capitale alsacienne où le matin même une opération contre un réseau de recel et trafic de Hi - Fi et vidéo a permis d' interpeller dix personnes , de [ saisir ] des armes et 15.000 € .",27,34,permis,saisir,1,1,1,BEFORE
37,2002-05-23-0139,"Sarkozy était hier dans la capitale alsacienne où le matin même une opération contre un réseau de recel et trafic de Hi - Fi et vidéo a [ permis ] d' interpeller dix personnes , de saisir des armes et 15.000 € .",Le nouveau ministre de l'intérieur se [ rend ] aujourd ' hui au centre de Sangatte où transitent des milliers d'immigrés sans papier .,27,6,permis,rend,1,2,0,BEFORE
38,2002-05-23-0139,"Sarkozy était hier dans la capitale alsacienne où le matin même une opération contre un réseau de recel et trafic de Hi - Fi et vidéo a [ permis ] d' interpeller dix personnes , de saisir des armes et 15.000 € .",Le nouveau ministre de l'intérieur se rend aujourd ' hui au centre de Sangatte où [ transitent ] des milliers d'immigrés sans papier .,27,15,permis,transitent,1,2,0,BEFORE
39,2002-05-23-0139,"Sarkozy était hier dans la capitale alsacienne où le matin même une opération contre un réseau de recel et trafic de Hi - Fi et vidéo a permis d' [ interpeller ] dix personnes , de saisir des armes et 15.000 € .","Sarkozy était hier dans la capitale alsacienne où le matin même une opération contre un réseau de recel et trafic de Hi - Fi et vidéo a permis d' interpeller dix personnes , de [ saisir ] des armes et 15.000 € .",29,34,interpeller,saisir,1,1,1,BEFORE
40,2002-05-23-0139,"Sarkozy était hier dans la capitale alsacienne où le matin même une opération contre un réseau de recel et trafic de Hi - Fi et vidéo a permis d' [ interpeller ] dix personnes , de saisir des armes et 15.000 € .",Le nouveau ministre de l'intérieur se [ rend ] aujourd ' hui au centre de Sangatte où transitent des milliers d'immigrés sans papier .,29,6,interpeller,rend,1,2,0,BEFORE
41,2002-05-23-0139,"Sarkozy était hier dans la capitale alsacienne où le matin même une opération contre un réseau de recel et trafic de Hi - Fi et vidéo a permis d' [ interpeller ] dix personnes , de saisir des armes et 15.000 € .",Le nouveau ministre de l'intérieur se rend aujourd ' hui au centre de Sangatte où [ transitent ] des milliers d'immigrés sans papier .,29,15,interpeller,transitent,1,2,0,VAGUE
42,2002-05-23-0139,"Sarkozy était hier dans la capitale alsacienne où le matin même une opération contre un réseau de recel et trafic de Hi - Fi et vidéo a permis d' interpeller dix personnes , de [ saisir ] des armes et 15.000 € .",Le nouveau ministre de l'intérieur se [ rend ] aujourd ' hui au centre de Sangatte où transitent des milliers d'immigrés sans papier .,34,6,saisir,rend,1,2,0,BEFORE
43,2002-05-23-0139,"Sarkozy était hier dans la capitale alsacienne où le matin même une opération contre un réseau de recel et trafic de Hi - Fi et vidéo a permis d' interpeller dix personnes , de [ saisir ] des armes et 15.000 € .",Le nouveau ministre de l'intérieur se rend aujourd ' hui au centre de Sangatte où [ transitent ] des milliers d'immigrés sans papier .,34,15,saisir,transitent,1,2,0,BEFORE
44,2002-05-23-0139,Le nouveau ministre de l'intérieur se [ rend ] aujourd ' hui au centre de Sangatte où transitent des milliers d'immigrés sans papier .,Le nouveau ministre de l'intérieur se rend aujourd ' hui au centre de Sangatte où [ transitent ] des milliers d'immigrés sans papier .,6,15,rend,transitent,2,2,1,BEFORE
45,2003-02-23-0086,"La fumée a [ attiré ] l'attention des voisins et des passants vers 15 h 30 , hier .",Il a [ fallu ] rapidement se rendre à l'évidence : il ne s ' agissait pas d'un feu de cheminée .,3,2,attiré,fallu,0,1,0,AFTER
46,2003-02-23-0086,Il a [ fallu ] rapidement se rendre à l'évidence : il ne s ' agissait pas d'un feu de cheminée .,"A leur arrivée devant le 10 , rue Paul - Bert à Belfort , les sapeurs - pompiers se sont rapidement [ trouvés ] face à un incendie d'importance .",2,21,fallu,trouvés,1,2,0,BEFORE
47,2003-02-23-0086,"A leur arrivée devant le 10 , rue Paul - Bert à Belfort , les sapeurs - pompiers se sont rapidement [ trouvés ] face à un incendie d'importance .",Le feu avait [ couvé ] et une épaisse fumée s ' était concentrée sur les deux étages de l'entrepôt du Secours populaire .,21,3,trouvés,couvé,2,3,0,BEFORE
48,2003-02-23-0086,"A leur arrivée devant le 10 , rue Paul - Bert à Belfort , les sapeurs - pompiers se sont rapidement [ trouvés ] face à un incendie d'importance .",Le feu avait couvé et une épaisse fumée s ' était [ concentrée ] sur les deux étages de l'entrepôt du Secours populaire .,21,11,trouvés,concentrée,2,3,0,AFTER
49,2003-02-23-0086,Le feu avait [ couvé ] et une épaisse fumée s ' était concentrée sur les deux étages de l'entrepôt du Secours populaire .,Le feu avait couvé et une épaisse fumée s ' était [ concentrée ] sur les deux étages de l'entrepôt du Secours populaire .,3,11,couvé,concentrée,3,3,1,BEFORE
50,2003-02-23-0086,Le feu avait [ couvé ] et une épaisse fumée s ' était concentrée sur les deux étages de l'entrepôt du Secours populaire .,"Il a [ fallu ] que les sapeurs - pompiers cassent les vitres , découpent le rideau métallique de la porte d'entrée et fassent des ouvertures dans le toit pour pouvoir combattre les flammes .",3,2,couvé,fallu,3,4,0,BEFORE
51,2003-02-23-0086,Le feu avait [ couvé ] et une épaisse fumée s ' était concentrée sur les deux étages de l'entrepôt du Secours populaire .,"Il a fallu que les sapeurs - pompiers [ cassent ] les vitres , découpent le rideau métallique de la porte d'entrée et fassent des ouvertures dans le toit pour pouvoir combattre les flammes .",3,8,couvé,cassent,3,4,0,VAGUE
52,2003-02-23-0086,Le feu avait [ couvé ] et une épaisse fumée s ' était concentrée sur les deux étages de l'entrepôt du Secours populaire .,"Il a fallu que les sapeurs - pompiers cassent les vitres , [ découpent ] le rideau métallique de la porte d'entrée et fassent des ouvertures dans le toit pour pouvoir combattre les flammes .",3,12,couvé,découpent,3,4,0,BEFORE
53,2003-02-23-0086,Le feu avait [ couvé ] et une épaisse fumée s ' était concentrée sur les deux étages de l'entrepôt du Secours populaire .,"Il a fallu que les sapeurs - pompiers cassent les vitres , découpent le rideau métallique de la porte d'entrée et [ fassent ] des ouvertures dans le toit pour pouvoir combattre les flammes .",3,21,couvé,fassent,3,4,0,EQUAL
54,2003-02-23-0086,Le feu avait couvé et une épaisse fumée s ' était [ concentrée ] sur les deux étages de l'entrepôt du Secours populaire .,"Il a [ fallu ] que les sapeurs - pompiers cassent les vitres , découpent le rideau métallique de la porte d'entrée et fassent des ouvertures dans le toit pour pouvoir combattre les flammes .",11,2,concentrée,fallu,3,4,0,BEFORE
55,2003-02-23-0086,Le feu avait couvé et une épaisse fumée s ' était [ concentrée ] sur les deux étages de l'entrepôt du Secours populaire .,"Il a fallu que les sapeurs - pompiers [ cassent ] les vitres , découpent le rideau métallique de la porte d'entrée et fassent des ouvertures dans le toit pour pouvoir combattre les flammes .",11,8,concentrée,cassent,3,4,0,AFTER
56,2003-02-23-0086,Le feu avait couvé et une épaisse fumée s ' était [ concentrée ] sur les deux étages de l'entrepôt du Secours populaire .,"Il a fallu que les sapeurs - pompiers cassent les vitres , [ découpent ] le rideau métallique de la porte d'entrée et fassent des ouvertures dans le toit pour pouvoir combattre les flammes .",11,12,concentrée,découpent,3,4,0,BEFORE
57,2003-02-23-0086,Le feu avait couvé et une épaisse fumée s ' était [ concentrée ] sur les deux étages de l'entrepôt du Secours populaire .,"Il a fallu que les sapeurs - pompiers cassent les vitres , découpent le rideau métallique de la porte d'entrée et [ fassent ] des ouvertures dans le toit pour pouvoir combattre les flammes .",11,21,concentrée,fassent,3,4,0,AFTER
58,2003-02-23-0086,"Il a [ fallu ] que les sapeurs - pompiers cassent les vitres , découpent le rideau métallique de la porte d'entrée et fassent des ouvertures dans le toit pour pouvoir combattre les flammes .","Il a fallu que les sapeurs - pompiers [ cassent ] les vitres , découpent le rideau métallique de la porte d'entrée et fassent des ouvertures dans le toit pour pouvoir combattre les flammes .",2,8,fallu,cassent,4,4,1,BEFORE
59,2003-02-23-0086,"Il a [ fallu ] que les sapeurs - pompiers cassent les vitres , découpent le rideau métallique de la porte d'entrée et fassent des ouvertures dans le toit pour pouvoir combattre les flammes .","Il a fallu que les sapeurs - pompiers cassent les vitres , [ découpent ] le rideau métallique de la porte d'entrée et fassent des ouvertures dans le toit pour pouvoir combattre les flammes .",2,12,fallu,découpent,4,4,1,BEFORE
60,2003-02-23-0086,"Il a [ fallu ] que les sapeurs - pompiers cassent les vitres , découpent le rideau métallique de la porte d'entrée et fassent des ouvertures dans le toit pour pouvoir combattre les flammes .","Il a fallu que les sapeurs - pompiers cassent les vitres , découpent le rideau métallique de la porte d'entrée et [ fassent ] des ouvertures dans le toit pour pouvoir combattre les flammes .",2,21,fallu,fassent,4,4,1,BEFORE
61,2003-02-23-0086,"Il a [ fallu ] que les sapeurs - pompiers cassent les vitres , découpent le rideau métallique de la porte d'entrée et fassent des ouvertures dans le toit pour pouvoir combattre les flammes .","Leur matériel respiratoire a été nécessaire pour entrer dans la fournaise [ générée ] par l' incendie des meubles , mousses et infrastructures en bois du bâtiment .",2,11,fallu,générée,4,5,0,AFTER
62,2003-02-23-0086,"Il a fallu que les sapeurs - pompiers [ cassent ] les vitres , découpent le rideau métallique de la porte d'entrée et fassent des ouvertures dans le toit pour pouvoir combattre les flammes .","Il a fallu que les sapeurs - pompiers cassent les vitres , [ découpent ] le rideau métallique de la porte d'entrée et fassent des ouvertures dans le toit pour pouvoir combattre les flammes .",8,12,cassent,découpent,4,4,1,BEFORE
63,2003-02-23-0086,"Il a fallu que les sapeurs - pompiers [ cassent ] les vitres , découpent le rideau métallique de la porte d'entrée et fassent des ouvertures dans le toit pour pouvoir combattre les flammes .","Il a fallu que les sapeurs - pompiers cassent les vitres , découpent le rideau métallique de la porte d'entrée et [ fassent ] des ouvertures dans le toit pour pouvoir combattre les flammes .",8,21,cassent,fassent,4,4,1,VAGUE
64,2003-02-23-0086,"Il a fallu que les sapeurs - pompiers [ cassent ] les vitres , découpent le rideau métallique de la porte d'entrée et fassent des ouvertures dans le toit pour pouvoir combattre les flammes .","Leur matériel respiratoire a été nécessaire pour entrer dans la fournaise [ générée ] par l' incendie des meubles , mousses et infrastructures en bois du bâtiment .",8,11,cassent,générée,4,5,0,BEFORE
65,2003-02-23-0086,"Il a fallu que les sapeurs - pompiers cassent les vitres , [ découpent ] le rideau métallique de la porte d'entrée et fassent des ouvertures dans le toit pour pouvoir combattre les flammes .","Il a fallu que les sapeurs - pompiers cassent les vitres , découpent le rideau métallique de la porte d'entrée et [ fassent ] des ouvertures dans le toit pour pouvoir combattre les flammes .",12,21,découpent,fassent,4,4,1,AFTER
66,2003-02-23-0086,"Il a fallu que les sapeurs - pompiers cassent les vitres , [ découpent ] le rideau métallique de la porte d'entrée et fassent des ouvertures dans le toit pour pouvoir combattre les flammes .","Leur matériel respiratoire a été nécessaire pour entrer dans la fournaise [ générée ] par l' incendie des meubles , mousses et infrastructures en bois du bâtiment .",12,11,découpent,générée,4,5,0,BEFORE
67,2003-02-23-0086,"Il a fallu que les sapeurs - pompiers cassent les vitres , découpent le rideau métallique de la porte d'entrée et [ fassent ] des ouvertures dans le toit pour pouvoir combattre les flammes .","Leur matériel respiratoire a été nécessaire pour entrer dans la fournaise [ générée ] par l' incendie des meubles , mousses et infrastructures en bois du bâtiment .",21,11,fassent,générée,4,5,0,EQUAL
68,2003-02-23-0086,"Leur matériel respiratoire a été nécessaire pour entrer dans la fournaise [ générée ] par l' incendie des meubles , mousses et infrastructures en bois du bâtiment .","L' opération a [ mobilisé ] 25 hommes issus des centres de Belfort Nord et Sud , de Giromagny et du service départemental d'incendie et de secours .",11,3,générée,mobilisé,5,6,0,BEFORE
69,2003-02-23-0086,"L' opération a [ mobilisé ] 25 hommes issus des centres de Belfort Nord et Sud , de Giromagny et du service départemental d'incendie et de secours .",Deux fourgons et deux grandes échelles ont été [ mises ] en action .,3,8,mobilisé,mises,6,7,0,AFTER
70,2003-02-23-0086,Deux fourgons et deux grandes échelles ont été [ mises ] en action .,"L' intervention a été [ dirigée ] sur place , depuis le poste de commandement mobile .",8,4,mises,dirigée,7,8,0,BEFORE
71,2003-02-23-0086,"L' intervention a été [ dirigée ] sur place , depuis le poste de commandement mobile .","Le sinistre a [ détruit ] essentiellement , au niveau du rez - de-chaussée , les locaux et le matériel situé côté Paul - Bert .",4,3,dirigée,détruit,8,9,0,EQUAL
72,2003-02-23-0086,"Le sinistre a [ détruit ] essentiellement , au niveau du rez - de-chaussée , les locaux et le matériel situé côté Paul - Bert .",La toiture a été [ préservée ] .,3,4,détruit,préservée,9,10,0,BEFORE
73,2003-02-23-0086,"Environ 100 m2 , sur environ 300 m2 de locaux , ont été [ détruits ] par les flammes .",Le reste a été [ endommagé ] par la chaleur et les fumées .,13,4,détruits,endommagé,12,13,0,EQUAL
74,2003-02-23-0086,"Il n ' y avait personne non plus à l'intérieur du hangar que le Secours populaire [ utilise ] depuis un quart de siècle pour l'accueil ainsi que la vente et le stockage de ses objets , meubles et vêtements .","Le bâtiment , qui [ appartient ] à la Ville de Belfort , venait de faire l'objet de travaux de rénovation confirme André Kaufmann , adjoint au maire , sur place hier : « La toiture a été complétement refaite à la fin de l'année dernière , ainsi que la façade extérieure et les systèmes de sécurité » , souligne - t - il , estimant le coût de ces travaux à environ 100.000 € .",16,4,utilise,appartient,15,16,0,BEFORE
75,2003-02-23-0086,"Il n ' y avait personne non plus à l'intérieur du hangar que le Secours populaire [ utilise ] depuis un quart de siècle pour l'accueil ainsi que la vente et le stockage de ses objets , meubles et vêtements .","Le bâtiment , qui appartient à la Ville de Belfort , venait de [ faire ] l'objet de travaux de rénovation confirme André Kaufmann , adjoint au maire , sur place hier : « La toiture a été complétement refaite à la fin de l'année dernière , ainsi que la façade extérieure et les systèmes de sécurité » , souligne - t - il , estimant le coût de ces travaux à environ 100.000 € .",16,13,utilise,faire,15,16,0,AFTER
76,2003-02-23-0086,"Il n ' y avait personne non plus à l'intérieur du hangar que le Secours populaire [ utilise ] depuis un quart de siècle pour l'accueil ainsi que la vente et le stockage de ses objets , meubles et vêtements .","Le bâtiment , qui appartient à la Ville de Belfort , venait de faire l'objet de travaux de rénovation [ confirme ] André Kaufmann , adjoint au maire , sur place hier : « La toiture a été complétement refaite à la fin de l'année dernière , ainsi que la façade extérieure et les systèmes de sécurité » , souligne - t - il , estimant le coût de ces travaux à environ 100.000 € .",16,19,utilise,confirme,15,16,0,BEFORE
77,2003-02-23-0086,"Il n ' y avait personne non plus à l'intérieur du hangar que le Secours populaire [ utilise ] depuis un quart de siècle pour l'accueil ainsi que la vente et le stockage de ses objets , meubles et vêtements .","Le bâtiment , qui appartient à la Ville de Belfort , venait de faire l'objet de travaux de rénovation confirme André Kaufmann , adjoint au maire , sur place hier : « La toiture a été complétement [ refaite ] à la fin de l'année dernière , ainsi que la façade extérieure et les systèmes de sécurité » , souligne - t - il , estimant le coût de ces travaux à environ 100.000 € .",16,37,utilise,refaite,15,16,0,AFTER
