sample_no,docid,sentence1,sentence2,location1,location2,event1,event2,sent1_id,sent2_id,same_sent,predicted
10,adige20040907_id405597,Si possono comunque consolare i biancocelesti guardando la statistica : negli ultimi due anni a [ vincere ] il campionato è stata proprio la squadra che all' esordio aveva affrontato il Salorno .,Si possono comunque consolare i biancocelesti guardando la statistica : negli ultimi due anni a vincere il campionato è stata proprio la squadra che all' esordio aveva [ affrontato ] il Salorno .,15,27,vincere,affrontato,2,2,1,BEFORE
11,adige20040907_id405597,Si possono comunque consolare i biancocelesti guardando la statistica : negli ultimi due anni a [ vincere ] il campionato è stata proprio la squadra che all' esordio aveva affrontato il Salorno .,Ed anche l' Arco dodici mesi fa [ impattò ] 0 - 0 in casa e poi ...,15,7,vincere,impattò,2,3,0,BEFORE
12,adige20040907_id405597,Si possono comunque consolare i biancocelesti guardando la statistica : negli ultimi due anni a vincere il campionato è [ stata ] proprio la squadra che all' esordio aveva affrontato il Salorno .,Si possono comunque consolare i biancocelesti guardando la statistica : negli ultimi due anni a vincere il campionato è stata proprio la squadra che all' esordio aveva [ affrontato ] il Salorno .,19,27,stata,affrontato,2,2,1,BEFORE
13,adige20040907_id405597,Si possono comunque consolare i biancocelesti guardando la statistica : negli ultimi due anni a vincere il campionato è [ stata ] proprio la squadra che all' esordio aveva affrontato il Salorno .,Ed anche l' Arco dodici mesi fa [ impattò ] 0 - 0 in casa e poi ...,19,7,stata,impattò,2,3,0,AFTER
14,adige20040907_id405597,Si possono comunque consolare i biancocelesti guardando la statistica : negli ultimi due anni a vincere il campionato è stata proprio la squadra che all' esordio aveva [ affrontato ] il Salorno .,Ed anche l' Arco dodici mesi fa [ impattò ] 0 - 0 in casa e poi ...,27,7,affrontato,impattò,2,3,0,BEFORE
15,adige20040907_id405597,"NATZ - [ è ] vero che di fronte aveva il Mori dall' attacco stellare , ma partire con uno 0 - 4 non è proprio l' ideale per la credibilità e il morale di una formazione già lo scorso anno costretta a soffrire oltremisura per guadagnarsi la salvezza .","NATZ - è vero che di fronte [ aveva ] il Mori dall' attacco stellare , ma partire con uno 0 - 4 non è proprio l' ideale per la credibilità e il morale di una formazione già lo scorso anno costretta a soffrire oltremisura per guadagnarsi la salvezza .",2,7,è,aveva,5,5,1,BEFORE
16,adige20040907_id405597,"NATZ - [ è ] vero che di fronte aveva il Mori dall' attacco stellare , ma partire con uno 0 - 4 non è proprio l' ideale per la credibilità e il morale di una formazione già lo scorso anno costretta a soffrire oltremisura per guadagnarsi la salvezza .","NATZ - è vero che di fronte aveva il Mori dall' attacco stellare , ma partire con uno 0 - 4 non è proprio l' ideale per la credibilità e il morale di una formazione già lo scorso anno [ costretta ] a soffrire oltremisura per guadagnarsi la salvezza .",2,39,è,costretta,5,5,1,VAGUE
17,adige20040907_id405597,"NATZ - [ è ] vero che di fronte aveva il Mori dall' attacco stellare , ma partire con uno 0 - 4 non è proprio l' ideale per la credibilità e il morale di una formazione già lo scorso anno costretta a soffrire oltremisura per guadagnarsi la salvezza .","NATZ - è vero che di fronte aveva il Mori dall' attacco stellare , ma partire con uno 0 - 4 non è proprio l' ideale per la credibilità e il morale di una formazione già lo scorso anno costretta a [ soffrire ] oltremisura per guadagnarsi la salvezza .",2,41,è,soffrire,5,5,1,AFTER
18,adige20040907_id405597,"NATZ - è vero che di fronte [ aveva ] il Mori dall' attacco stellare , ma partire con uno 0 - 4 non è proprio l' ideale per la credibilità e il morale di una formazione già lo scorso anno costretta a soffrire oltremisura per guadagnarsi la salvezza .","NATZ - è vero che di fronte aveva il Mori dall' attacco stellare , ma partire con uno 0 - 4 non è proprio l' ideale per la credibilità e il morale di una formazione già lo scorso anno [ costretta ] a soffrire oltremisura per guadagnarsi la salvezza .",7,39,aveva,costretta,5,5,1,BEFORE
19,adige20040907_id405597,"NATZ - è vero che di fronte [ aveva ] il Mori dall' attacco stellare , ma partire con uno 0 - 4 non è proprio l' ideale per la credibilità e il morale di una formazione già lo scorso anno costretta a soffrire oltremisura per guadagnarsi la salvezza .","NATZ - è vero che di fronte aveva il Mori dall' attacco stellare , ma partire con uno 0 - 4 non è proprio l' ideale per la credibilità e il morale di una formazione già lo scorso anno costretta a [ soffrire ] oltremisura per guadagnarsi la salvezza .",7,41,aveva,soffrire,5,5,1,EQUAL
20,adige20040907_id405597,"NATZ - è vero che di fronte aveva il Mori dall' attacco stellare , ma partire con uno 0 - 4 non è proprio l' ideale per la credibilità e il morale di una formazione già lo scorso anno [ costretta ] a soffrire oltremisura per guadagnarsi la salvezza .","NATZ - è vero che di fronte aveva il Mori dall' attacco stellare , ma partire con uno 0 - 4 non è proprio l' ideale per la credibilità e il morale di una formazione già lo scorso anno costretta a [ soffrire ] oltremisura per guadagnarsi la salvezza .",39,41,costretta,soffrire,5,5,1,BEFORE
21,ANSA5.txt.pos.col,"[ E' ] quanto ha deciso di scoprire il governo del Jammu e Kashmir dopo che i pellegrini che hanno raggiunto la grotta per il rituale pellegrinaggio , hanno protestato per l' aspetto del lingam , a dir loro troppo piccolo rispetto al passato .","E' quanto ha [ deciso ] di scoprire il governo del Jammu e Kashmir dopo che i pellegrini che hanno raggiunto la grotta per il rituale pellegrinaggio , hanno protestato per l' aspetto del lingam , a dir loro troppo piccolo rispetto al passato .",0,3,E',deciso,1,1,1,BEFORE
22,ANSA5.txt.pos.col,"[ E' ] quanto ha deciso di scoprire il governo del Jammu e Kashmir dopo che i pellegrini che hanno raggiunto la grotta per il rituale pellegrinaggio , hanno protestato per l' aspetto del lingam , a dir loro troppo piccolo rispetto al passato .","E' quanto ha deciso di scoprire il governo del Jammu e Kashmir dopo che i pellegrini che hanno [ raggiunto ] la grotta per il rituale pellegrinaggio , hanno protestato per l' aspetto del lingam , a dir loro troppo piccolo rispetto al passato .",0,18,E',raggiunto,1,1,1,VAGUE
23,ANSA5.txt.pos.col,"[ E' ] quanto ha deciso di scoprire il governo del Jammu e Kashmir dopo che i pellegrini che hanno raggiunto la grotta per il rituale pellegrinaggio , hanno protestato per l' aspetto del lingam , a dir loro troppo piccolo rispetto al passato .","E' quanto ha deciso di scoprire il governo del Jammu e Kashmir dopo che i pellegrini che hanno raggiunto la grotta per il rituale pellegrinaggio , hanno [ protestato ] per l' aspetto del lingam , a dir loro troppo piccolo rispetto al passato .",0,27,E',protestato,1,1,1,AFTER
24,ANSA5.txt.pos.col,"[ E' ] quanto ha deciso di scoprire il governo del Jammu e Kashmir dopo che i pellegrini che hanno raggiunto la grotta per il rituale pellegrinaggio , hanno protestato per l' aspetto del lingam , a dir loro troppo piccolo rispetto al passato .",L' Alta Corte e un pool di esperti [ condurranno ] l' inchiesta per scoprire la verità .,0,8,E',condurranno,1,2,0,BEFORE
25,ANSA5.txt.pos.col,"E' quanto ha [ deciso ] di scoprire il governo del Jammu e Kashmir dopo che i pellegrini che hanno raggiunto la grotta per il rituale pellegrinaggio , hanno protestato per l' aspetto del lingam , a dir loro troppo piccolo rispetto al passato .","E' quanto ha deciso di scoprire il governo del Jammu e Kashmir dopo che i pellegrini che hanno [ raggiunto ] la grotta per il rituale pellegrinaggio , hanno protestato per l' aspetto del lingam , a dir loro troppo piccolo rispetto al passato .",3,18,deciso,raggiunto,1,1,1,AFTER
26,ANSA5.txt.pos.col,"E' quanto ha [ deciso ] di scoprire il governo del Jammu e Kashmir dopo che i pellegrini che hanno raggiunto la grotta per il rituale pellegrinaggio , hanno protestato per l' aspetto del lingam , a dir loro troppo piccolo rispetto al passato .","E' quanto ha deciso di scoprire il governo del Jammu e Kashmir dopo che i pellegrini che hanno raggiunto la grotta per il rituale pellegrinaggio , hanno [ protestato ] per l' aspetto del lingam , a dir loro troppo piccolo rispetto al passato .",3,27,deciso,protestato,1,1,1,AFTER
27,ANSA5.txt.pos.col,"E' quanto ha [ deciso ] di scoprire il governo del Jammu e Kashmir dopo che i pellegrini che hanno raggiunto la grotta per il rituale pellegrinaggio , hanno protestato per l' aspetto del lingam , a dir loro troppo piccolo rispetto al passato .",L' Alta Corte e un pool di esperti [ condurranno ] l' inchiesta per scoprire la verità .,3,8,deciso,condurranno,1,2,0,BEFORE
28,ANSA5.txt.pos.col,"E' quanto ha deciso di scoprire il governo del Jammu e Kashmir dopo che i pellegrini che hanno [ raggiunto ] la grotta per il rituale pellegrinaggio , hanno protestato per l' aspetto del lingam , a dir loro troppo piccolo rispetto al passato .","E' quanto ha deciso di scoprire il governo del Jammu e Kashmir dopo che i pellegrini che hanno raggiunto la grotta per il rituale pellegrinaggio , hanno [ protestato ] per l' aspetto del lingam , a dir loro troppo piccolo rispetto al passato .",18,27,raggiunto,protestato,1,1,1,BEFORE
29,ANSA5.txt.pos.col,"E' quanto ha deciso di scoprire il governo del Jammu e Kashmir dopo che i pellegrini che hanno [ raggiunto ] la grotta per il rituale pellegrinaggio , hanno protestato per l' aspetto del lingam , a dir loro troppo piccolo rispetto al passato .",L' Alta Corte e un pool di esperti [ condurranno ] l' inchiesta per scoprire la verità .,18,8,raggiunto,condurranno,1,2,0,BEFORE
30,ANSA5.txt.pos.col,"E' quanto ha deciso di scoprire il governo del Jammu e Kashmir dopo che i pellegrini che hanno raggiunto la grotta per il rituale pellegrinaggio , hanno [ protestato ] per l' aspetto del lingam , a dir loro troppo piccolo rispetto al passato .",L' Alta Corte e un pool di esperti [ condurranno ] l' inchiesta per scoprire la verità .,27,8,protestato,condurranno,1,2,0,BEFORE
31,adige20040908_id405702,"Il tempo del tutto esaurito è [ andato ] in scena , lunedì , al Festival Oriente Occidente .",Ed è [ stato ] anche un pienone legato all' euforia frizzante e propiziatoria per le migliori giornate dei festival .,6,2,andato,stato,0,1,0,AFTER
32,adige20040908_id405702,Ed è [ stato ] anche un pienone legato all' euforia frizzante e propiziatoria per le migliori giornate dei festival .,"[ É ] sicuramente ben riuscita , grazie ad una precisa addizionale d' inventiva , la rilettura dei quadri di Edward Hopper fatta da Guilherme Botelho per l' appuntamento serale .",2,0,stato,É,1,2,0,EQUAL
33,adige20040908_id405702,Ed è [ stato ] anche un pienone legato all' euforia frizzante e propiziatoria per le migliori giornate dei festival .,"É sicuramente ben [ riuscita ] , grazie ad una precisa addizionale d' inventiva , la rilettura dei quadri di Edward Hopper fatta da Guilherme Botelho per l' appuntamento serale .",2,3,stato,riuscita,1,2,0,BEFORE
34,adige20040908_id405702,Ed è [ stato ] anche un pienone legato all' euforia frizzante e propiziatoria per le migliori giornate dei festival .,"É sicuramente ben riuscita , grazie ad una precisa addizionale d' inventiva , la rilettura dei quadri di Edward Hopper [ fatta ] da Guilherme Botelho per l' appuntamento serale .",2,20,stato,fatta,1,2,0,BEFORE
35,adige20040908_id405702,"[ É ] sicuramente ben riuscita , grazie ad una precisa addizionale d' inventiva , la rilettura dei quadri di Edward Hopper fatta da Guilherme Botelho per l' appuntamento serale .","É sicuramente ben [ riuscita ] , grazie ad una precisa addizionale d' inventiva , la rilettura dei quadri di Edward Hopper fatta da Guilherme Botelho per l' appuntamento serale .",0,3,É,riuscita,2,2,1,BEFORE
36,adige20040908_id405702,"[ É ] sicuramente ben riuscita , grazie ad una precisa addizionale d' inventiva , la rilettura dei quadri di Edward Hopper fatta da Guilherme Botelho per l' appuntamento serale .","É sicuramente ben riuscita , grazie ad una precisa addizionale d' inventiva , la rilettura dei quadri di Edward Hopper [ fatta ] da Guilherme Botelho per l' appuntamento serale .",0,20,É,fatta,2,2,1,BEFORE
37,adige20040908_id405702,"[ É ] sicuramente ben riuscita , grazie ad una precisa addizionale d' inventiva , la rilettura dei quadri di Edward Hopper fatta da Guilherme Botelho per l' appuntamento serale .","Con la platea [ riempita ] fino all' ultima poltrona è stato allestito lunedì all' auditorium del Mart "" Escucha mi cantar "" , penultimo lavoro del coreografo brasiliano trapiantato in Svizzera .",0,3,É,riempita,2,3,0,BEFORE
38,adige20040908_id405702,"[ É ] sicuramente ben riuscita , grazie ad una precisa addizionale d' inventiva , la rilettura dei quadri di Edward Hopper fatta da Guilherme Botelho per l' appuntamento serale .","Con la platea riempita fino all' ultima poltrona è stato [ allestito ] lunedì all' auditorium del Mart "" Escucha mi cantar "" , penultimo lavoro del coreografo brasiliano trapiantato in Svizzera .",0,10,É,allestito,2,3,0,VAGUE
39,adige20040908_id405702,"É sicuramente ben [ riuscita ] , grazie ad una precisa addizionale d' inventiva , la rilettura dei quadri di Edward Hopper fatta da Guilherme Botelho per l' appuntamento serale .","É sicuramente ben riuscita , grazie ad una precisa addizionale d' inventiva , la rilettura dei quadri di Edward Hopper [ fatta ] da Guilherme Botelho per l' appuntamento serale .",3,20,riuscita,fatta,2,2,1,BEFORE
40,adige20040908_id405702,"É sicuramente ben [ riuscita ] , grazie ad una precisa addizionale d' inventiva , la rilettura dei quadri di Edward Hopper fatta da Guilherme Botelho per l' appuntamento serale .","Con la platea [ riempita ] fino all' ultima poltrona è stato allestito lunedì all' auditorium del Mart "" Escucha mi cantar "" , penultimo lavoro del coreografo brasiliano trapiantato in Svizzera .",3,3,riuscita,riempita,2,3,0,AFTER
41,adige20040908_id405702,"É sicuramente ben [ riuscita ] , grazie ad una precisa addizionale d' inventiva , la rilettura dei quadri di Edward Hopper fatta da Guilherme Botelho per l' appuntamento serale .","Con la platea riempita fino all' ultima poltrona è stato [ allestito ] lunedì all' auditorium del Mart "" Escucha mi cantar "" , penultimo lavoro del coreografo brasiliano trapiantato in Svizzera .",3,10,riuscita,allestito,2,3,0,EQUAL
42,adige20040908_id405702,"É sicuramente ben riuscita , grazie ad una precisa addizionale d' inventiva , la rilettura dei quadri di Edward Hopper [ fatta ] da Guilherme Botelho per l' appuntamento serale .","Con la platea [ riempita ] fino all' ultima poltrona è stato allestito lunedì all' auditorium del Mart "" Escucha mi cantar "" , penultimo lavoro del coreografo brasiliano trapiantato in Svizzera .",20,3,fatta,riempita,2,3,0,BEFORE
43,adige20040908_id405702,"É sicuramente ben riuscita , grazie ad una precisa addizionale d' inventiva , la rilettura dei quadri di Edward Hopper [ fatta ] da Guilherme Botelho per l' appuntamento serale .","Con la platea riempita fino all' ultima poltrona è stato [ allestito ] lunedì all' auditorium del Mart "" Escucha mi cantar "" , penultimo lavoro del coreografo brasiliano trapiantato in Svizzera .",20,10,fatta,allestito,2,3,0,BEFORE
44,adige20040908_id405702,"Con la platea [ riempita ] fino all' ultima poltrona è stato allestito lunedì all' auditorium del Mart "" Escucha mi cantar "" , penultimo lavoro del coreografo brasiliano trapiantato in Svizzera .","Con la platea riempita fino all' ultima poltrona è stato [ allestito ] lunedì all' auditorium del Mart "" Escucha mi cantar "" , penultimo lavoro del coreografo brasiliano trapiantato in Svizzera .",3,10,riempita,allestito,3,3,1,BEFORE
45,adige20040908_id405702,"Con la platea [ riempita ] fino all' ultima poltrona è stato allestito lunedì all' auditorium del Mart "" Escucha mi cantar "" , penultimo lavoro del coreografo brasiliano trapiantato in Svizzera .",Ma lo spettacolo non è [ stato ] solo una ridinamizzazione di quadri conosciuti ma ha anche regalato suggestioni cinematografiche e sonorità popolari .,3,5,riempita,stato,3,4,0,BEFORE
46,adige20040908_id405702,"Con la platea [ riempita ] fino all' ultima poltrona è stato allestito lunedì all' auditorium del Mart "" Escucha mi cantar "" , penultimo lavoro del coreografo brasiliano trapiantato in Svizzera .",Ma lo spettacolo non è stato solo una ridinamizzazione di quadri conosciuti ma ha anche [ regalato ] suggestioni cinematografiche e sonorità popolari .,3,15,riempita,regalato,3,4,0,EQUAL
47,adige20040908_id405702,"Con la platea riempita fino all' ultima poltrona è stato [ allestito ] lunedì all' auditorium del Mart "" Escucha mi cantar "" , penultimo lavoro del coreografo brasiliano trapiantato in Svizzera .",Ma lo spettacolo non è [ stato ] solo una ridinamizzazione di quadri conosciuti ma ha anche regalato suggestioni cinematografiche e sonorità popolari .,10,5,allestito,stato,3,4,0,AFTER
48,adige20040908_id405702,"Con la platea riempita fino all' ultima poltrona è stato [ allestito ] lunedì all' auditorium del Mart "" Escucha mi cantar "" , penultimo lavoro del coreografo brasiliano trapiantato in Svizzera .",Ma lo spettacolo non è stato solo una ridinamizzazione di quadri conosciuti ma ha anche [ regalato ] suggestioni cinematografiche e sonorità popolari .,10,15,allestito,regalato,3,4,0,BEFORE
49,adige20040908_id405702,Ma lo spettacolo non è [ stato ] solo una ridinamizzazione di quadri conosciuti ma ha anche regalato suggestioni cinematografiche e sonorità popolari .,Ma lo spettacolo non è stato solo una ridinamizzazione di quadri conosciuti ma ha anche [ regalato ] suggestioni cinematografiche e sonorità popolari .,5,15,stato,regalato,4,4,1,BEFORE
50,adige20040908_id405702,Ma lo spettacolo non è [ stato ] solo una ridinamizzazione di quadri conosciuti ma ha anche regalato suggestioni cinematografiche e sonorità popolari .,"Il titolo del pezzo , "" Escucha mi cantar "" , [ viene ] direttamante da una canzone messa in chiusura della colonna sonora mentre la struttura della piéce è un continuo vorticare di tre stanze uguali tra loro , ma nel cui interno si svolgono delle storie con protagonisti diversi .",5,11,stato,viene,4,5,0,VAGUE
51,adige20040908_id405702,Ma lo spettacolo non è [ stato ] solo una ridinamizzazione di quadri conosciuti ma ha anche regalato suggestioni cinematografiche e sonorità popolari .,"Il titolo del pezzo , "" Escucha mi cantar "" , viene direttamante da una canzone [ messa ] in chiusura della colonna sonora mentre la struttura della piéce è un continuo vorticare di tre stanze uguali tra loro , ma nel cui interno si svolgono delle storie con protagonisti diversi .",5,16,stato,messa,4,5,0,BEFORE
52,adige20040908_id405702,Ma lo spettacolo non è [ stato ] solo una ridinamizzazione di quadri conosciuti ma ha anche regalato suggestioni cinematografiche e sonorità popolari .,"Il titolo del pezzo , "" Escucha mi cantar "" , viene direttamante da una canzone messa in chiusura della colonna sonora mentre la struttura della piéce [ è ] un continuo vorticare di tre stanze uguali tra loro , ma nel cui interno si svolgono delle storie con protagonisti diversi .",5,27,stato,è,4,5,0,VAGUE
53,adige20040908_id405702,Ma lo spettacolo non è [ stato ] solo una ridinamizzazione di quadri conosciuti ma ha anche regalato suggestioni cinematografiche e sonorità popolari .,"Il titolo del pezzo , "" Escucha mi cantar "" , viene direttamante da una canzone messa in chiusura della colonna sonora mentre la struttura della piéce è un continuo [ vorticare ] di tre stanze uguali tra loro , ma nel cui interno si svolgono delle storie con protagonisti diversi .",5,30,stato,vorticare,4,5,0,EQUAL
54,adige20040908_id405702,Ma lo spettacolo non è [ stato ] solo una ridinamizzazione di quadri conosciuti ma ha anche regalato suggestioni cinematografiche e sonorità popolari .,"Il titolo del pezzo , "" Escucha mi cantar "" , viene direttamante da una canzone messa in chiusura della colonna sonora mentre la struttura della piéce è un continuo vorticare di tre stanze uguali tra loro , ma nel cui interno si [ svolgono ] delle storie con protagonisti diversi .",5,43,stato,svolgono,4,5,0,BEFORE
55,adige20040908_id405702,Ma lo spettacolo non è stato solo una ridinamizzazione di quadri conosciuti ma ha anche [ regalato ] suggestioni cinematografiche e sonorità popolari .,"Il titolo del pezzo , "" Escucha mi cantar "" , [ viene ] direttamante da una canzone messa in chiusura della colonna sonora mentre la struttura della piéce è un continuo vorticare di tre stanze uguali tra loro , ma nel cui interno si svolgono delle storie con protagonisti diversi .",15,11,regalato,viene,4,5,0,AFTER
56,adige20040908_id405702,Ma lo spettacolo non è stato solo una ridinamizzazione di quadri conosciuti ma ha anche [ regalato ] suggestioni cinematografiche e sonorità popolari .,"Il titolo del pezzo , "" Escucha mi cantar "" , viene direttamante da una canzone [ messa ] in chiusura della colonna sonora mentre la struttura della piéce è un continuo vorticare di tre stanze uguali tra loro , ma nel cui interno si svolgono delle storie con protagonisti diversi .",15,16,regalato,messa,4,5,0,EQUAL
57,adige20040908_id405702,Ma lo spettacolo non è stato solo una ridinamizzazione di quadri conosciuti ma ha anche [ regalato ] suggestioni cinematografiche e sonorità popolari .,"Il titolo del pezzo , "" Escucha mi cantar "" , viene direttamante da una canzone messa in chiusura della colonna sonora mentre la struttura della piéce [ è ] un continuo vorticare di tre stanze uguali tra loro , ma nel cui interno si svolgono delle storie con protagonisti diversi .",15,27,regalato,è,4,5,0,BEFORE
58,adige20040908_id405702,Ma lo spettacolo non è stato solo una ridinamizzazione di quadri conosciuti ma ha anche [ regalato ] suggestioni cinematografiche e sonorità popolari .,"Il titolo del pezzo , "" Escucha mi cantar "" , viene direttamante da una canzone messa in chiusura della colonna sonora mentre la struttura della piéce è un continuo [ vorticare ] di tre stanze uguali tra loro , ma nel cui interno si svolgono delle storie con protagonisti diversi .",15,30,regalato,vorticare,4,5,0,EQUAL
59,adige20040908_id405702,Ma lo spettacolo non è stato solo una ridinamizzazione di quadri conosciuti ma ha anche [ regalato ] suggestioni cinematografiche e sonorità popolari .,"Il titolo del pezzo , "" Escucha mi cantar "" , viene direttamante da una canzone messa in chiusura della colonna sonora mentre la struttura della piéce è un continuo vorticare di tre stanze uguali tra loro , ma nel cui interno si [ svolgono ] delle storie con protagonisti diversi .",15,43,regalato,svolgono,4,5,0,BEFORE
60,adige20040908_id405702,"Il titolo del pezzo , "" Escucha mi cantar "" , [ viene ] direttamante da una canzone messa in chiusura della colonna sonora mentre la struttura della piéce è un continuo vorticare di tre stanze uguali tra loro , ma nel cui interno si svolgono delle storie con protagonisti diversi .","Il titolo del pezzo , "" Escucha mi cantar "" , viene direttamante da una canzone [ messa ] in chiusura della colonna sonora mentre la struttura della piéce è un continuo vorticare di tre stanze uguali tra loro , ma nel cui interno si svolgono delle storie con protagonisti diversi .",11,16,viene,messa,5,5,1,BEFORE
61,adige20040908_id405702,"Il titolo del pezzo , "" Escucha mi cantar "" , [ viene ] direttamante da una canzone messa in chiusura della colonna sonora mentre la struttura della piéce è un continuo vorticare di tre stanze uguali tra loro , ma nel cui interno si svolgono delle storie con protagonisti diversi .","Il titolo del pezzo , "" Escucha mi cantar "" , viene direttamante da una canzone messa in chiusura della colonna sonora mentre la struttura della piéce [ è ] un continuo vorticare di tre stanze uguali tra loro , ma nel cui interno si svolgono delle storie con protagonisti diversi .",11,27,viene,è,5,5,1,AFTER
62,adige20040908_id405702,"Il titolo del pezzo , "" Escucha mi cantar "" , [ viene ] direttamante da una canzone messa in chiusura della colonna sonora mentre la struttura della piéce è un continuo vorticare di tre stanze uguali tra loro , ma nel cui interno si svolgono delle storie con protagonisti diversi .","Il titolo del pezzo , "" Escucha mi cantar "" , viene direttamante da una canzone messa in chiusura della colonna sonora mentre la struttura della piéce è un continuo [ vorticare ] di tre stanze uguali tra loro , ma nel cui interno si svolgono delle storie con protagonisti diversi .",11,30,viene,vorticare,5,5,1,AFTER
63,adige20040908_id405702,"Il titolo del pezzo , "" Escucha mi cantar "" , [ viene ] direttamante da una canzone messa in chiusura della colonna sonora mentre la struttura della piéce è un continuo vorticare di tre stanze uguali tra loro , ma nel cui interno si svolgono delle storie con protagonisti diversi .","Il titolo del pezzo , "" Escucha mi cantar "" , viene direttamante da una canzone messa in chiusura della colonna sonora mentre la struttura della piéce è un continuo vorticare di tre stanze uguali tra loro , ma nel cui interno si [ svolgono ] delle storie con protagonisti diversi .",11,43,viene,svolgono,5,5,1,BEFORE
64,adige20040908_id405702,"Il titolo del pezzo , "" Escucha mi cantar "" , [ viene ] direttamante da una canzone messa in chiusura della colonna sonora mentre la struttura della piéce è un continuo vorticare di tre stanze uguali tra loro , ma nel cui interno si svolgono delle storie con protagonisti diversi .",[ É ] come guardare una giostra e ad ogni spicchio di passaggio si vedono alcuni fotogrammi di vita trascorsi a riempire sprazzi di solitudine o incontri d' alcova .,11,0,viene,É,5,6,0,VAGUE
65,adige20040908_id405702,"Il titolo del pezzo , "" Escucha mi cantar "" , [ viene ] direttamante da una canzone messa in chiusura della colonna sonora mentre la struttura della piéce è un continuo vorticare di tre stanze uguali tra loro , ma nel cui interno si svolgono delle storie con protagonisti diversi .",É come guardare una giostra e ad ogni spicchio di passaggio si [ vedono ] alcuni fotogrammi di vita trascorsi a riempire sprazzi di solitudine o incontri d' alcova .,11,12,viene,vedono,5,6,0,EQUAL
66,adige20040908_id405702,"Il titolo del pezzo , "" Escucha mi cantar "" , [ viene ] direttamante da una canzone messa in chiusura della colonna sonora mentre la struttura della piéce è un continuo vorticare di tre stanze uguali tra loro , ma nel cui interno si svolgono delle storie con protagonisti diversi .",É come guardare una giostra e ad ogni spicchio di passaggio si vedono alcuni fotogrammi di vita trascorsi a [ riempire ] sprazzi di solitudine o incontri d' alcova .,11,19,viene,riempire,5,6,0,BEFORE
