sample_no,docid,sentence1,sentence2,location1,location2,event1,event2,sent1_id,sent2_id,same_sent,predicted
19,10938_20000214.txt,"Las afirmaciones de Musa , a quien cita hoy , lunes , la prensa local , [ coinciden ] con la presencia estos días en Egipto de una delegación de especialistas de las Naciones Unidas para tratar con las autoridades de este país sobre las posibilidades de eliminar esos artefactos en el territorio egipcio .",""" La ayuda que nos han enviado la comunidad internacional y los países involucrados en la guerra de Al Alamin , en el Desierto Occidental , ( Gran Bretaña , Alemania e Italia ) [ es ] muy limitada "" , dijo Musa .",16,34,coinciden,es,3,4,0,BEFORE
20,10938_20000214.txt,"Las afirmaciones de Musa , a quien cita hoy , lunes , la prensa local , [ coinciden ] con la presencia estos días en Egipto de una delegación de especialistas de las Naciones Unidas para tratar con las autoridades de este país sobre las posibilidades de eliminar esos artefactos en el territorio egipcio .",""" La ayuda que nos han enviado la comunidad internacional y los países involucrados en la guerra de Al Alamin , en el Desierto Occidental , ( Gran Bretaña , Alemania e Italia ) es muy limitada "" , [ dijo ] Musa .",16,39,coinciden,dijo,3,4,0,BEFORE
21,10938_20000214.txt,""" La ayuda que nos han [ enviado ] la comunidad internacional y los países involucrados en la guerra de Al Alamin , en el Desierto Occidental , ( Gran Bretaña , Alemania e Italia ) es muy limitada "" , dijo Musa .",""" La ayuda que nos han enviado la comunidad internacional y los países involucrados en la guerra de Al Alamin , en el Desierto Occidental , ( Gran Bretaña , Alemania e Italia ) [ es ] muy limitada "" , dijo Musa .",6,34,enviado,es,4,4,1,AFTER
22,10938_20000214.txt,""" La ayuda que nos han [ enviado ] la comunidad internacional y los países involucrados en la guerra de Al Alamin , en el Desierto Occidental , ( Gran Bretaña , Alemania e Italia ) es muy limitada "" , dijo Musa .",""" La ayuda que nos han enviado la comunidad internacional y los países involucrados en la guerra de Al Alamin , en el Desierto Occidental , ( Gran Bretaña , Alemania e Italia ) es muy limitada "" , [ dijo ] Musa .",6,39,enviado,dijo,4,4,1,VAGUE
23,10938_20000214.txt,""" La ayuda que nos han [ enviado ] la comunidad internacional y los países involucrados en la guerra de Al Alamin , en el Desierto Occidental , ( Gran Bretaña , Alemania e Italia ) es muy limitada "" , dijo Musa .",Especialistas de las Fuerzas Armadas egipcias [ afirman ] que hasta finales de 1999 han eliminado más de dos millones de minas .,6,6,enviado,afirman,4,5,0,AFTER
24,10938_20000214.txt,""" La ayuda que nos han [ enviado ] la comunidad internacional y los países involucrados en la guerra de Al Alamin , en el Desierto Occidental , ( Gran Bretaña , Alemania e Italia ) es muy limitada "" , dijo Musa .",Especialistas de las Fuerzas Armadas egipcias afirman que hasta finales de 1999 han [ eliminado ] más de dos millones de minas .,6,13,enviado,eliminado,4,5,0,BEFORE
25,10938_20000214.txt,""" La ayuda que nos han enviado la comunidad internacional y los países involucrados en la guerra de Al Alamin , en el Desierto Occidental , ( Gran Bretaña , Alemania e Italia ) [ es ] muy limitada "" , dijo Musa .",""" La ayuda que nos han enviado la comunidad internacional y los países involucrados en la guerra de Al Alamin , en el Desierto Occidental , ( Gran Bretaña , Alemania e Italia ) es muy limitada "" , [ dijo ] Musa .",34,39,es,dijo,4,4,1,EQUAL
26,10938_20000214.txt,""" La ayuda que nos han enviado la comunidad internacional y los países involucrados en la guerra de Al Alamin , en el Desierto Occidental , ( Gran Bretaña , Alemania e Italia ) [ es ] muy limitada "" , dijo Musa .",Especialistas de las Fuerzas Armadas egipcias [ afirman ] que hasta finales de 1999 han eliminado más de dos millones de minas .,34,6,es,afirman,4,5,0,AFTER
27,10938_20000214.txt,""" La ayuda que nos han enviado la comunidad internacional y los países involucrados en la guerra de Al Alamin , en el Desierto Occidental , ( Gran Bretaña , Alemania e Italia ) [ es ] muy limitada "" , dijo Musa .",Especialistas de las Fuerzas Armadas egipcias afirman que hasta finales de 1999 han [ eliminado ] más de dos millones de minas .,34,13,es,eliminado,4,5,0,AFTER
28,10938_20000214.txt,""" La ayuda que nos han enviado la comunidad internacional y los países involucrados en la guerra de Al Alamin , en el Desierto Occidental , ( Gran Bretaña , Alemania e Italia ) es muy limitada "" , [ dijo ] Musa .",Especialistas de las Fuerzas Armadas egipcias [ afirman ] que hasta finales de 1999 han eliminado más de dos millones de minas .,39,6,dijo,afirman,4,5,0,BEFORE
29,10938_20000214.txt,""" La ayuda que nos han enviado la comunidad internacional y los países involucrados en la guerra de Al Alamin , en el Desierto Occidental , ( Gran Bretaña , Alemania e Italia ) es muy limitada "" , [ dijo ] Musa .",Especialistas de las Fuerzas Armadas egipcias afirman que hasta finales de 1999 han [ eliminado ] más de dos millones de minas .,39,13,dijo,eliminado,4,5,0,AFTER
30,10938_20000214.txt,Especialistas de las Fuerzas Armadas egipcias [ afirman ] que hasta finales de 1999 han eliminado más de dos millones de minas .,Especialistas de las Fuerzas Armadas egipcias afirman que hasta finales de 1999 han [ eliminado ] más de dos millones de minas .,6,13,afirman,eliminado,5,5,1,VAGUE
31,108_20000601_a.txt,El grupo [ pide ] en su alegato final un plazo de un año para su eventual segregación .,"Microsoft [ contraatacó ] ayer en su alegato final contra la propuesta del Gobierno de EEUU de dividir la compañía en dos y aseguró que la petición es "" vaga , ambigua y deficiente "" .",2,1,pide,contraatacó,1,2,0,BEFORE
32,108_20000601_a.txt,El grupo [ pide ] en su alegato final un plazo de un año para su eventual segregación .,"Microsoft contraatacó ayer en su alegato final contra la propuesta del Gobierno de EEUU de dividir la compañía en dos y [ aseguró ] que la petición es "" vaga , ambigua y deficiente "" .",2,21,pide,aseguró,1,2,0,BEFORE
33,108_20000601_a.txt,El grupo [ pide ] en su alegato final un plazo de un año para su eventual segregación .,"Microsoft contraatacó ayer en su alegato final contra la propuesta del Gobierno de EEUU de dividir la compañía en dos y aseguró que la petición [ es ] "" vaga , ambigua y deficiente "" .",2,25,pide,es,1,2,0,BEFORE
34,108_20000601_a.txt,"Microsoft [ contraatacó ] ayer en su alegato final contra la propuesta del Gobierno de EEUU de dividir la compañía en dos y aseguró que la petición es "" vaga , ambigua y deficiente "" .","Microsoft contraatacó ayer en su alegato final contra la propuesta del Gobierno de EEUU de dividir la compañía en dos y [ aseguró ] que la petición es "" vaga , ambigua y deficiente "" .",1,21,contraatacó,aseguró,2,2,1,BEFORE
35,108_20000601_a.txt,"Microsoft [ contraatacó ] ayer en su alegato final contra la propuesta del Gobierno de EEUU de dividir la compañía en dos y aseguró que la petición es "" vaga , ambigua y deficiente "" .","Microsoft contraatacó ayer en su alegato final contra la propuesta del Gobierno de EEUU de dividir la compañía en dos y aseguró que la petición [ es ] "" vaga , ambigua y deficiente "" .",1,25,contraatacó,es,2,2,1,BEFORE
36,108_20000601_a.txt,"Microsoft [ contraatacó ] ayer en su alegato final contra la propuesta del Gobierno de EEUU de dividir la compañía en dos y aseguró que la petición es "" vaga , ambigua y deficiente "" .","Los abogados del gigante del software , en su última oportunidad de dulcificar la próxima decisión del juez de distrito que [ lleva ] el caso antimonopolio , Thomas P. Jackson , reclamaron un plazo de 12 meses para proceder a una eventual segregación de la empresa .",1,21,contraatacó,lleva,2,3,0,BEFORE
37,108_20000601_a.txt,"Microsoft [ contraatacó ] ayer en su alegato final contra la propuesta del Gobierno de EEUU de dividir la compañía en dos y aseguró que la petición es "" vaga , ambigua y deficiente "" .","Los abogados del gigante del software , en su última oportunidad de dulcificar la próxima decisión del juez de distrito que lleva el caso antimonopolio , Thomas P. Jackson , [ reclamaron ] un plazo de 12 meses para proceder a una eventual segregación de la empresa .",1,30,contraatacó,reclamaron,2,3,0,BEFORE
38,108_20000601_a.txt,"Microsoft contraatacó ayer en su alegato final contra la propuesta del Gobierno de EEUU de dividir la compañía en dos y [ aseguró ] que la petición es "" vaga , ambigua y deficiente "" .","Microsoft contraatacó ayer en su alegato final contra la propuesta del Gobierno de EEUU de dividir la compañía en dos y aseguró que la petición [ es ] "" vaga , ambigua y deficiente "" .",21,25,aseguró,es,2,2,1,VAGUE
39,108_20000601_a.txt,"Microsoft contraatacó ayer en su alegato final contra la propuesta del Gobierno de EEUU de dividir la compañía en dos y [ aseguró ] que la petición es "" vaga , ambigua y deficiente "" .","Los abogados del gigante del software , en su última oportunidad de dulcificar la próxima decisión del juez de distrito que [ lleva ] el caso antimonopolio , Thomas P. Jackson , reclamaron un plazo de 12 meses para proceder a una eventual segregación de la empresa .",21,21,aseguró,lleva,2,3,0,BEFORE
40,108_20000601_a.txt,"Microsoft contraatacó ayer en su alegato final contra la propuesta del Gobierno de EEUU de dividir la compañía en dos y [ aseguró ] que la petición es "" vaga , ambigua y deficiente "" .","Los abogados del gigante del software , en su última oportunidad de dulcificar la próxima decisión del juez de distrito que lleva el caso antimonopolio , Thomas P. Jackson , [ reclamaron ] un plazo de 12 meses para proceder a una eventual segregación de la empresa .",21,30,aseguró,reclamaron,2,3,0,BEFORE
41,108_20000601_a.txt,"Microsoft contraatacó ayer en su alegato final contra la propuesta del Gobierno de EEUU de dividir la compañía en dos y aseguró que la petición [ es ] "" vaga , ambigua y deficiente "" .","Los abogados del gigante del software , en su última oportunidad de dulcificar la próxima decisión del juez de distrito que [ lleva ] el caso antimonopolio , Thomas P. Jackson , reclamaron un plazo de 12 meses para proceder a una eventual segregación de la empresa .",25,21,es,lleva,2,3,0,VAGUE
42,108_20000601_a.txt,"Microsoft contraatacó ayer en su alegato final contra la propuesta del Gobierno de EEUU de dividir la compañía en dos y aseguró que la petición [ es ] "" vaga , ambigua y deficiente "" .","Los abogados del gigante del software , en su última oportunidad de dulcificar la próxima decisión del juez de distrito que lleva el caso antimonopolio , Thomas P. Jackson , [ reclamaron ] un plazo de 12 meses para proceder a una eventual segregación de la empresa .",25,30,es,reclamaron,2,3,0,AFTER
43,108_20000601_a.txt,"Los abogados del gigante del software , en su última oportunidad de dulcificar la próxima decisión del juez de distrito que [ lleva ] el caso antimonopolio , Thomas P. Jackson , reclamaron un plazo de 12 meses para proceder a una eventual segregación de la empresa .","Los abogados del gigante del software , en su última oportunidad de dulcificar la próxima decisión del juez de distrito que lleva el caso antimonopolio , Thomas P. Jackson , [ reclamaron ] un plazo de 12 meses para proceder a una eventual segregación de la empresa .",21,30,lleva,reclamaron,3,3,1,BEFORE
44,108_20000601_a.txt,"Los abogados del gigante del software , en su última oportunidad de dulcificar la próxima decisión del juez de distrito que [ lleva ] el caso antimonopolio , Thomas P. Jackson , reclamaron un plazo de 12 meses para proceder a una eventual segregación de la empresa .",""" Cuando un requerimiento judicial [ es ] tan ambiguo que desafía toda comprensión , éste es nulo e inaplicable "" , dice el documento de Microsoft presentado al juez .",21,5,lleva,es,3,4,0,BEFORE
45,108_20000601_a.txt,"Los abogados del gigante del software , en su última oportunidad de dulcificar la próxima decisión del juez de distrito que [ lleva ] el caso antimonopolio , Thomas P. Jackson , reclamaron un plazo de 12 meses para proceder a una eventual segregación de la empresa .",""" Cuando un requerimiento judicial es tan ambiguo que [ desafía ] toda comprensión , éste es nulo e inaplicable "" , dice el documento de Microsoft presentado al juez .",21,9,lleva,desafía,3,4,0,AFTER
46,108_20000601_a.txt,"Los abogados del gigante del software , en su última oportunidad de dulcificar la próxima decisión del juez de distrito que [ lleva ] el caso antimonopolio , Thomas P. Jackson , reclamaron un plazo de 12 meses para proceder a una eventual segregación de la empresa .",""" Cuando un requerimiento judicial es tan ambiguo que desafía toda comprensión , éste [ es ] nulo e inaplicable "" , dice el documento de Microsoft presentado al juez .",21,14,lleva,es,3,4,0,VAGUE
47,108_20000601_a.txt,"Los abogados del gigante del software , en su última oportunidad de dulcificar la próxima decisión del juez de distrito que [ lleva ] el caso antimonopolio , Thomas P. Jackson , reclamaron un plazo de 12 meses para proceder a una eventual segregación de la empresa .",""" Cuando un requerimiento judicial es tan ambiguo que desafía toda comprensión , éste es nulo e inaplicable "" , [ dice ] el documento de Microsoft presentado al juez .",21,20,lleva,dice,3,4,0,BEFORE
48,108_20000601_a.txt,"Los abogados del gigante del software , en su última oportunidad de dulcificar la próxima decisión del juez de distrito que lleva el caso antimonopolio , Thomas P. Jackson , [ reclamaron ] un plazo de 12 meses para proceder a una eventual segregación de la empresa .",""" Cuando un requerimiento judicial [ es ] tan ambiguo que desafía toda comprensión , éste es nulo e inaplicable "" , dice el documento de Microsoft presentado al juez .",30,5,reclamaron,es,3,4,0,BEFORE
49,108_20000601_a.txt,"Los abogados del gigante del software , en su última oportunidad de dulcificar la próxima decisión del juez de distrito que lleva el caso antimonopolio , Thomas P. Jackson , [ reclamaron ] un plazo de 12 meses para proceder a una eventual segregación de la empresa .",""" Cuando un requerimiento judicial es tan ambiguo que [ desafía ] toda comprensión , éste es nulo e inaplicable "" , dice el documento de Microsoft presentado al juez .",30,9,reclamaron,desafía,3,4,0,BEFORE
50,108_20000601_a.txt,"Los abogados del gigante del software , en su última oportunidad de dulcificar la próxima decisión del juez de distrito que lleva el caso antimonopolio , Thomas P. Jackson , [ reclamaron ] un plazo de 12 meses para proceder a una eventual segregación de la empresa .",""" Cuando un requerimiento judicial es tan ambiguo que desafía toda comprensión , éste [ es ] nulo e inaplicable "" , dice el documento de Microsoft presentado al juez .",30,14,reclamaron,es,3,4,0,VAGUE
51,108_20000601_a.txt,"Los abogados del gigante del software , en su última oportunidad de dulcificar la próxima decisión del juez de distrito que lleva el caso antimonopolio , Thomas P. Jackson , [ reclamaron ] un plazo de 12 meses para proceder a una eventual segregación de la empresa .",""" Cuando un requerimiento judicial es tan ambiguo que desafía toda comprensión , éste es nulo e inaplicable "" , [ dice ] el documento de Microsoft presentado al juez .",30,20,reclamaron,dice,3,4,0,EQUAL
52,108_20000601_a.txt,""" Cuando un requerimiento judicial [ es ] tan ambiguo que desafía toda comprensión , éste es nulo e inaplicable "" , dice el documento de Microsoft presentado al juez .",""" Cuando un requerimiento judicial es tan ambiguo que [ desafía ] toda comprensión , éste es nulo e inaplicable "" , dice el documento de Microsoft presentado al juez .",5,9,es,desafía,4,4,1,BEFORE
53,108_20000601_a.txt,""" Cuando un requerimiento judicial [ es ] tan ambiguo que desafía toda comprensión , éste es nulo e inaplicable "" , dice el documento de Microsoft presentado al juez .",""" Cuando un requerimiento judicial es tan ambiguo que desafía toda comprensión , éste [ es ] nulo e inaplicable "" , dice el documento de Microsoft presentado al juez .",5,14,es,es,4,4,1,BEFORE
54,108_20000601_a.txt,""" Cuando un requerimiento judicial [ es ] tan ambiguo que desafía toda comprensión , éste es nulo e inaplicable "" , dice el documento de Microsoft presentado al juez .",""" Cuando un requerimiento judicial es tan ambiguo que desafía toda comprensión , éste es nulo e inaplicable "" , [ dice ] el documento de Microsoft presentado al juez .",5,20,es,dice,4,4,1,AFTER
55,108_20000601_a.txt,""" Cuando un requerimiento judicial [ es ] tan ambiguo que desafía toda comprensión , éste es nulo e inaplicable "" , dice el documento de Microsoft presentado al juez .","El viernes pasado , el Gobierno [ entregó ] al juez una copia detallada de su propuesta para acabar con el monopolio de Microsoft .",5,6,es,entregó,4,5,0,VAGUE
56,108_20000601_a.txt,""" Cuando un requerimiento judicial es tan ambiguo que [ desafía ] toda comprensión , éste es nulo e inaplicable "" , dice el documento de Microsoft presentado al juez .",""" Cuando un requerimiento judicial es tan ambiguo que desafía toda comprensión , éste [ es ] nulo e inaplicable "" , dice el documento de Microsoft presentado al juez .",9,14,desafía,es,4,4,1,BEFORE
57,108_20000601_a.txt,""" Cuando un requerimiento judicial es tan ambiguo que [ desafía ] toda comprensión , éste es nulo e inaplicable "" , dice el documento de Microsoft presentado al juez .",""" Cuando un requerimiento judicial es tan ambiguo que desafía toda comprensión , éste es nulo e inaplicable "" , [ dice ] el documento de Microsoft presentado al juez .",9,20,desafía,dice,4,4,1,AFTER
58,108_20000601_a.txt,""" Cuando un requerimiento judicial es tan ambiguo que [ desafía ] toda comprensión , éste es nulo e inaplicable "" , dice el documento de Microsoft presentado al juez .","El viernes pasado , el Gobierno [ entregó ] al juez una copia detallada de su propuesta para acabar con el monopolio de Microsoft .",9,6,desafía,entregó,4,5,0,EQUAL
59,108_20000601_a.txt,""" Cuando un requerimiento judicial es tan ambiguo que desafía toda comprensión , éste [ es ] nulo e inaplicable "" , dice el documento de Microsoft presentado al juez .",""" Cuando un requerimiento judicial es tan ambiguo que desafía toda comprensión , éste es nulo e inaplicable "" , [ dice ] el documento de Microsoft presentado al juez .",14,20,es,dice,4,4,1,BEFORE
60,108_20000601_a.txt,""" Cuando un requerimiento judicial es tan ambiguo que desafía toda comprensión , éste [ es ] nulo e inaplicable "" , dice el documento de Microsoft presentado al juez .","El viernes pasado , el Gobierno [ entregó ] al juez una copia detallada de su propuesta para acabar con el monopolio de Microsoft .",14,6,es,entregó,4,5,0,BEFORE
61,108_20000601_a.txt,""" Cuando un requerimiento judicial es tan ambiguo que desafía toda comprensión , éste es nulo e inaplicable "" , [ dice ] el documento de Microsoft presentado al juez .","El viernes pasado , el Gobierno [ entregó ] al juez una copia detallada de su propuesta para acabar con el monopolio de Microsoft .",20,6,dice,entregó,4,5,0,AFTER
62,108_20000601_a.txt,"El viernes pasado , el Gobierno [ entregó ] al juez una copia detallada de su propuesta para acabar con el monopolio de Microsoft .","El juez [ llegó ] a plantear la posibilidad de dividir la compañía en tres , como solicitaban algunos de los competidores del grupo presidido por Bill Gates .",6,2,entregó,llegó,5,6,0,AFTER
63,108_20000601_a.txt,"El viernes pasado , el Gobierno [ entregó ] al juez una copia detallada de su propuesta para acabar con el monopolio de Microsoft .","El juez llegó a [ plantear ] la posibilidad de dividir la compañía en tres , como solicitaban algunos de los competidores del grupo presidido por Bill Gates .",6,4,entregó,plantear,5,6,0,AFTER
64,108_20000601_a.txt,"El viernes pasado , el Gobierno [ entregó ] al juez una copia detallada de su propuesta para acabar con el monopolio de Microsoft .","El juez llegó a plantear la posibilidad de dividir la compañía en tres , como [ solicitaban ] algunos de los competidores del grupo presidido por Bill Gates .",6,15,entregó,solicitaban,5,6,0,BEFORE
